Scopus ID,Source ID,ISSN(IA),eISSN(IA),ISBN(IA),Title,Creator,Publication Name,Cover Date,Cited by #,Type,Subtype,Article number (IA),Volume(IA),DOI(IA),Affiliation(IA)
85178346002,27241,00191035,10902643,,"Mars' atmosphere, volatiles, and climate as the sun heats up over the next 6 billion years",Jakosky B.M.,Icarus,2024-03-01,0,Journal,Article,115888,410,10.1016/j.icarus.2023.115888,University of Colorado Boulder-Boulder-United Statesx
85177535296,21101187491,,,9780309475785,"Origins, worlds, and life: A decadal strategy for planetary science and astrobiology 2023-2032",,"Origins, Worlds, and Life: A Decadal Strategy for Planetary Science and Astrobiology 2023-2032",2023-11-23,71,Book,Book,,,10.17226/26522,
85175994928,21100218107,,19422466,,Convection and Convective-Organization in Hothouse Climates,Dagan G.,Journal of Advances in Modeling Earth Systems,2023-11-01,0,Journal,Article,e2023MS003765,15,10.1029/2023MS003765,Hebrew University of Jerusalem-Jerusalem-Israelx
85171966620,22580,00128252,,,"Cycles of ∼32.5 My and ∼26.2 My in correlated episodes of continental flood basalts (CFBs), hyper-thermal climate pulses, anoxic oceans, and mass extinctions over the last 260 My: Connections between geological and astronomical cycles",Rampino M.R.,Earth-Science Reviews,2023-11-01,2,Journal,Review,104548,246,10.1016/j.earscirev.2023.104548,New York University-New York-United Statesx
85184313212,21101200075,,,9780191980343,The fundamental processes in ecology: Life and the earth system: Second edition,Wilkinson D.M.,The Fundamental Processes in Ecology: Life and the Earth System: Second Edition,2023-10-19,0,Book,Book,,,10.1093/oso/9780192884640.001.0001,University of Lincoln-Lincoln-United Kingdomx
85171876943,28261,00386308,15729672,,"Magma Ocean, Water, and the Early Atmosphere of Venus",Salvador A.,Space Science Reviews,2023-10-01,5,Journal,Review,51,219,10.1007/s11214-023-00995-7,The University of Arizona-Tucson-United Statesx
85179832159,21101057020,,26323338,,Earth as a Transiting Exoplanet: A Validation of Transmission Spectroscopy and Atmospheric Retrieval Methodologies for Terrestrial Exoplanets,Lustig-Yaeger J.,Planetary Science Journal,2023-09-01,2,Journal,Article,170,4,10.3847/PSJ/acf3e5,University of Washington-Seattle-United Statesx
85172927125,21100826864,,22251154,,The Detection and Attribution of Northern Hemisphere Land Surface Warming (1850–2018) in Terms of Human and Natural Factors: Challenges of Inadequate Data,Soon W.,Climate,2023-09-01,5,Journal,Article,179,11,10.3390/cli11090179,Center for Environmental Research and Earth Sciences (CERES)-Salem-United Statesx
85163981193,21100457028,,23752548,,"Why the day is 24 hours long: The history of Earth's atmospheric thermal tide, composition, and mean temperature",Wu H.,Science Advances,2023-07-07,0,Journal,Article,add2499,9,10.1126/sciadv.add2499,University of Toronto-Toronto-Canadax
85159109168,21100197947,22112855,,,Electrochemical direct CO<inf>2</inf> capture technology using redox-active organic molecules to achieve carbon-neutrality,Choi G.H.,Nano Energy,2023-07-01,3,Journal,Article,108512,112,10.1016/j.nanoen.2023.108512,Sungkyunkwan University-Seoul-South Koreax
