"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"XNQARSU5","journalArticle","2008","Kellstedt, Paul M.; Zahran, Sammy; Vedlitz, Arnold","Personal Efficacy, the Information Environment, and Attitudes Toward Global Warming and Climate Change in the United States","Risk Analysis","","0272-4332, 1539-6924","10.1111/j.1539-6924.2008.01010.x","https://onlinelibrary.wiley.com/doi/10.1111/j.1539-6924.2008.01010.x","Despite the growing scientific consensus about the risks of global warming and climate change, the mass media frequently portray the subject as one of great scientific controversy and debate. And yet previous studies of the mass public's subjective assessments of the risks of global warming and climate change have not sufficiently examined public informedness, public confidence in climate scientists, and the role of personal efficacy in affecting global warming outcomes. By examining the results of a survey on an original and representative sample of Americans, we find that these three forces—informedness, confidence in scientists, and personal efficacy—are related in interesting and unexpected ways, and exert significant influence on risk assessments of global warming and climate change. In particular, more informed respondents both feel less personally responsible for global warming, and also show less concern for global warming. We also find that confidence in scientists has unexpected effects: respondents with high confidence in scientists feel less responsible for global warming, and also show less concern for global warming. These results have substantial implications for the interaction between scientists and the public in general, and for the public discussion of global warming and climate change in particular.","2008-02","2024-02-01 02:50:00","2024-02-01 02:50:00","2024-02-01 02:49:17","113-126","","1","28","","Risk Analysis","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\kjmaier\Zotero\storage\KN5SEV2A\Kellstedt et al. - 2008 - Personal Efficacy, the Information Environment, an.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IG9RAD7L","journalArticle","2021","Zandalinas, Sara I.; Fritschi, Felix B.; Mittler, Ron","Global warming, climate change, and environmental pollution: recipe for a multifactorial stress combination disaster","Trends in Plant Science","","","","https://www.cell.com/trends/plant-science/fulltext/S1360-1385(21)00058-3","","2021","2024-02-01 02:50:00","2024-02-01 02:50:00","2024-02-01 02:49:24","588–599","","6","26","","","Global warming, climate change, and environmental pollution","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\kjmaier\Zotero\storage\PASJ4GLB\Zandalinas et al. - 2021 - Global warming, climate change, and environmental .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4AFBAFS6","journalArticle","2001","Houghton, John","The science of global warming","Interdisciplinary Science Reviews","","0308-0188, 1743-2790","10.1179/isr.2001.26.4.247","http://www.tandfonline.com/doi/full/10.1179/isr.2001.26.4.247","","2001-12","2024-02-01 02:50:00","2024-02-01 02:50:00","2024-02-01 02:49:24","247-257","","4","26","","Interdisciplinary Science Reviews","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\kjmaier\Zotero\storage\J3H75PP7\Houghton - 2001 - The science of global warming.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PJXWND96","journalArticle","2016","Schuldt, Jonathon P.","“Global warming” versus “climate change” and the influence of labeling on public perceptions","Oxford research encyclopedia of climate science","","","","https://oxfordre.com/climatescience/display/10.1093/acrefore/9780190228620.001.0001/acrefore-9780190228620-e-309","","2016","2024-02-01 02:50:00","2024-02-01 02:50:00","2024-02-01 02:49:26","","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\kjmaier\Zotero\storage\GC3XCUDW\Schuldt - 2016 - “Global warming” versus “climate change” and the i.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UPJ9HF34","journalArticle","2005","Khandekar, M. L.; Murty, T. S.; Chittibabu, P.","The Global Warming Debate: A Review of the State of Science","Pure and Applied Geophysics","","0033-4553, 1420-9136","10.1007/s00024-005-2683-x","http://link.springer.com/10.1007/s00024-005-2683-x","","2005-08","2024-02-01 02:50:00","2024-02-01 02:50:00","2024-02-01 02:49:26","1557-1586","","8-9","162","","Pure appl. geophys.","The Global Warming Debate","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\kjmaier\Zotero\storage\MHFYJE5P\Khandekar et al. - 2005 - The Global Warming Debate A Review of the State o.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F7LFLULS","journalArticle","2008","Crabbe, M. James C.","Climate change, global warming and coral reefs: Modelling the effects of temperature","Computational Biology and Chemistry","","","","https://www.sciencedirect.com/science/article/pii/S1476927108000455","","2008","2024-02-01 02:50:00","2024-02-01 02:50:00","2024-02-01 02:49:32","311–314","","5","32","","","Climate change, global warming and coral reefs","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\kjmaier\Zotero\storage\8S5FH9YT\S1476927108000455.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X8V3NLZL","journalArticle","2008","Visser, Marcel E","Keeping up with a warming world; assessing the rate of adaptation to climate change","Proceedings of the Royal Society B: Biological Sciences","","0962-8452, 1471-2954","10.1098/rspb.2007.0997","https://royalsocietypublishing.org/doi/10.1098/rspb.2007.0997","The pivotal question in the debate on the ecological effects of climate change is whether species will be able to adapt fast enough to keep up with their changing environment. If we establish the maximal rate of adaptation, this will set an upper limit to the rate at which temperatures can increase without loss of biodiversity.             The rate of adaptation will primarily be set by the rate of microevolution since (i) phenotypic plasticity alone is not sufficient as reaction norms will no longer be adaptive and hence microevolution on the reaction norm is needed, (ii) learning will be favourable to the individual but cannot be passed on to the next generations, (iii) maternal effects may play a role but, as with other forms of phenotypic plasticity, the response of offspring to the maternal cues will no longer be adaptive in a changing environment, and (iv) adaptation via immigration of individuals with genotypes adapted to warmer environments also involves microevolution as these genotypes are better adapted in terms of temperature, but not in terms of, for instance, photoperiod.             Long-term studies on wild populations with individually known animals play an essential role in detecting and understanding the temporal trends in life-history traits, and to estimate the heritability of, and selection pressures on, life-history traits. However, additional measurements on other trophic levels and on the mechanisms underlying phenotypic plasticity are needed to predict the rate of microevolution, especially under changing conditions.             Using this knowledge on heritability of, and selection on, life-history traits, in combination with climate scenarios, we will be able to predict the rate of adaptation for different climate scenarios. The final step is to use ecoevolutionary dynamical models to make the link to population viability and from there to biodiversity loss for those scenarios where the rate of adaptation is insufficient.","2008-03-22","2024-02-01 02:50:00","2024-02-01 02:50:00","2024-02-01 02:49:32","649-659","","1635","275","","Proc. R. Soc. B.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\kjmaier\Zotero\storage\87KIYDRJ\Visser - 2008 - Keeping up with a warming world; assessing the rat.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K8DTZ3EM","journalArticle","2005","Pielke Jr, Roger A.; Landsea, Chris; Mayfield, Max; Layer, J.; Pasch, Richard","Hurricanes and global warming","Bulletin of the American Meteorological Society","","","","https://journals.ametsoc.org/view/journals/bams/86/11/bams-86-11-1571.xml","","2005","2024-02-01 02:50:00","2024-02-01 02:50:00","2024-02-01 02:49:33","1571–1576","","11","86","","","","","","","","","","","","","","","Google Scholar","","Publisher: American Meteorological Society","","C:\Users\kjmaier\Zotero\storage\D27XHV4Q\Pielke Jr et al. - 2005 - Hurricanes and global warming.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25K4GUAP","journalArticle","2012","Rangwala, Imtiaz; Miller, James R.","Climate change in mountains: a review of elevation-dependent warming and its possible causes","Climatic Change","","0165-0009, 1573-1480","10.1007/s10584-012-0419-3","http://link.springer.com/10.1007/s10584-012-0419-3","","2012-10","2024-02-01 02:50:00","2024-02-01 02:50:00","2024-02-01 02:49:36","527-547","","3-4","114","","Climatic Change","Climate change in mountains","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\kjmaier\Zotero\storage\TMPY8KVV\Rangwala and Miller - 2012 - Climate change in mountains a review of elevation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UYJ6NY72","journalArticle","2009","Noyes, Pamela D.; McElwee, Matthew K.; Miller, Hilary D.; Clark, Bryan W.; Van Tiem, Lindsey A.; Walcott, Kia C.; Erwin, Kyle N.; Levin, Edward D.","The toxicology of climate change: environmental contaminants in a warming world","Environment international","","","","https://www.sciencedirect.com/science/article/pii/S0160412009000543","","2009","2024-02-01 02:50:00","2024-02-01 02:50:00","2024-02-01 02:49:38","971–986","","6","35","","","The toxicology of climate change","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\kjmaier\Zotero\storage\9CG4T5KM\S0160412009000543.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
