Parameter,Header,Query,Description,Required,Type,Option/s,Option/s Description,Default,Override/s,Subscription,Tips
Accept,X,,This represents the acceptable mime type format in which the response can be generated.,X,xsd:string,"application/json,application/atom+xml,application/xml","returns the response in JSON, returns the response in ATOM, returns the response in XML mark-up",application/json,httpAccept,,
Authorization,X,,"This header field contains the OAuth bearer access token in which the format of the field is ""Bearer <token>"" (where the token represents the end-user session key). The presence of a bearer token implies the request will be executed against user-based entitlements.",,xsd:string,,,,access_token,,
X-ELS-APIKey,X,,This represents a unique application developer key providing access to API resources.,X,xsd:string,,,,apiKey,,
X-ELS-Authtoken,X,,"This represents a end-user session. If provided, this token is used to validate the credentials needed to access content in this resource.�",,xsd:string,,,,"Authorization,access_token",,
X-ELS-Insttoken,X,,"This represents a institution token. If provided, this key (in combination with its associated APIKey) is used to establish the credentials needed to access content in this resource.",,xsd:string,,,,insttoken,,
X-ELS-ReqId,X,,"This is a client-defined request identifier, which will be logged in all trace messages of the service. This identifier can be used to track a specific transaction in the service's message logs. It will also be returned as an HTTP header in the corresponding response. Note that this should be a unique identifier for the client, and used to track a single transaction.",,xsd:string,,,,reqId,,
X-ELS-ResourceVersion,X,,Represents the version of the resource that should be received. Multiple attributes can be submitted by separating with commas or semicolons.,,xsd:string,"facetexpand,allexpand,new","adds new fields under each facet returned (where applicable), (same as facetexpand),returns the most recent and prototyped features",,ver,,
httpAccept,,X,"Override for HTTP header Accept, this represents the acceptable mime types in which the response can be generated.",,xsd:string,"application/json,application/atom+xml,application/xml","returns the response in JSON, returns the response in ATOM, returns the response in XML mark-up",application/json,,,
access_token,,X,"Override for HTTP header Authorization, this contains the OAuth bearer access token, where the format of the field is ""<token>"" (where the token represents the end-user session key). The presence of a bearer token implies the request will be executed against user-based entitlements.",,xsd:string,,,,,,
insttoken,,X,"Override for HTTP header X-ELS-Insttoken, this represents a institution token. If provided, this key (in combination with its associated APIKey) is used to establish the credentials needed to access content in this resource.",,xsd:string,,,,,,
apiKey,,X,"Override for HTTP header X-ELS-APIKey, this represents a unique application developer key providing access to resource.",,xsd:string,,,,,,
reqId,,X,"Override for HTTP header X-ELS-ReqId, this is a client-defined request identifier, which will be logged in all trace messages of the service. This identifier can be used to track a specific transaction in the service's message logs. Note that this should be a unique identifier for the client, and used to track a single transaction.",,xsd:string,,,,,,
ver,,X,"Override for HTTP header X-ELS-ResourceVersion, this represents the version of the resource that should be received. Multiple attributes can be submitted by separating with commas or semicolons.",,xsd:string,"facetexpand,allexpand,new","adds new fields under each facet returned (where applicable), (same as facetexpand),returns the most recent and prototyped features",,,,
query,,X,This represents the boolean search to be executed against the SCOPUS cluster.,X,xsd:string,,,,,,https://dev.elsevier.com/sc_search_tips.html
view,,X,This alias represents the list of elements that will be returned in the response.,,xsd:string,"STANDARD,COMPLETE","returns less fields than the COMPLETE version. Free acces, returns all available fields. Subscription Required",STANDARD,field,",X",https://dev.elsevier.com/sc_search_views.html
field,,X,"This alias represents the name of specific fields that should be returned. The list of fields include all of the fields returned in the response payload (see view). Multiple fields can be specified, delimited by commas. Note that specifying this parameter overrides the view parameter.",,xsd:string,[api/fields],,,,,https://dev.elsevier.com/sc_search_views.html
