Scopus ID,Source ID,ISSN(IA),eISSN(IA),ISBN(IA),Title,Creator,Publication Name,Cover Date,Cited by #,Type,Subtype,Article number (IA),Volume(IA),DOI(IA),Affiliation(IA)
85188707441,21101065239,,26624435,,Brief and intensive volcanic emissions from Ontong Java Nui heralded Oceanic Anoxic Event 1a,Matsumoto H.,Communications Earth and Environment,2024-12-01,0,Journal,Article,155,5,10.1038/s43247-024-01310-0,Japan Agency for Marine-Earth Science and Technology-Yokosuka-Japan
85188670656,21101065239,,26624435,,Intensification and shutdown of deep convection in the Labrador Sea were caused by changes in atmospheric and freshwater dynamics,Yashayaev I.,Communications Earth and Environment,2024-12-01,0,Journal,Article,156,5,10.1038/s43247-024-01296-9,"Bedford Institute of Oceanography, Fisheries and Oceans Canada-Dartmouth-Canada"
85188658873,21100200805,,20452322,,Inter-coat protein loading of active ingredients into Tobacco mild green mosaic virus through partial dissociation and reassembly of the virion,González-Gamboa I.,Scientific Reports,2024-12-01,0,Journal,Article,7168,14,10.1038/s41598-024-57200-0,"Department of NanoEngineering-La Jolla-United StatesxUniversity of California, San Diego-La Jolla-United States"
85188653565,21100200805,,20452322,,Understanding flash flooding in the Himalayan Region: a case study,Nagamani K.,Scientific Reports,2024-12-01,0,Journal,Article,7060,14,10.1038/s41598-024-53535-w,Sathyabama Institute of Science and Technology-Chennai-India
85188647157,21100823286,,21921709,,Sex-dependent resilience to extreme drought events: implications for climate change adaptation of a South American endangered tree species,Piraino S.,Ecological Processes,2024-12-01,0,Journal,Article,24,13,10.1186/s13717-024-00505-9,"Universidad Nacional de Cuyo-Mendoza-ArgentinaxInstituto Argentino de Nivologia, Glaciologia y Ciencias Ambientales-Mendoza-Argentina"
85188617774,19700182758,,20411723,,Treeline displacement may affect lake dissolved organic matter processing at high latitudes and altitudes,Catalán N.,Nature Communications,2024-12-01,0,Journal,Article,2640,15,10.1038/s41467-024-46789-5,CSIC - Instituto de Diagnostico Ambiental y Estudios del Agua (IDAEA)-Barcelona-SpainxUppsala Universitet-Uppsala-Sweden
85188610535,7000153262,1007662X,19930607,,"Climate warming is significantly influenced by rising summer maximum temperatures: insights from tree-ring evidence of the Western Tianshan Mountains, China",Ren M.,Journal of Forestry Research,2024-12-01,0,Journal,Article,63,35,10.1007/s11676-024-01715-9,Institute of Earth Environment-Xi'an-ChinaxChina Meteorological Administration-Beijing-ChinaxXi'an Institute for Innovative Earth Environment Research-Xi'an-China
85188595952,21100200805,,20452322,,Comparative life cycle assessment of environmental impacts and economic feasibility of tomato cultivation systems in northern plains of India,Kumar R.,Scientific Reports,2024-12-01,0,Journal,Article,7084,14,10.1038/s41598-024-57623-9,Dr. B.R. Ambedkar National Institute of Technology-Jalandhar-India
85188591820,19700182758,,20411723,,Nitrogen and phosphorus trends in lake sediments of China may diverge,Ji P.,Nature Communications,2024-12-01,0,Journal,Article,2644,15,10.1038/s41467-024-46968-4,Lanzhou University-Lanzhou-China
85188591057,19700182758,,20411723,,Accounting for albedo change to identify climate-positive tree cover restoration,Hasler N.,Nature Communications,2024-12-01,0,Journal,Article,2275,15,10.1038/s41467-024-46577-1,Clark University-Worcester-United States
85188582922,21100843270,,21974284,,Impact of permafrost degradation on the extreme increase of dissolved iron concentration in the Amur river during 1995–1997,Tashiro Y.,Progress in Earth and Planetary Science,2024-12-01,0,Journal,Article,17,11,10.1186/s40645-024-00619-w,Nagoya University-Nagoya-Japan
85188564268,21100982468,,23973722,,A warming climate will make Australian soil a net emitter of atmospheric CO<inf>2</inf>,Viscarra Rossel R.A.,npj Climate and Atmospheric Science,2024-12-01,0,Journal,Article,79,7,10.1038/s41612-024-00619-z,The Faculty of Science &amp; Engineering-Perth-Australia
85188552577,21100843270,,21974284,,Regional event-based flood quantile estimation method for large climate projection ensembles,Chen J.,Progress in Earth and Planetary Science,2024-12-01,0,Journal,Article,16,11,10.1186/s40645-024-00618-x,Graduate School of Engineering-Kyoto-Japan
85188550343,19700182758,,20411723,,The role of mountains in shaping the global meridional overturning circulation,Yang H.,Nature Communications,2024-12-01,0,Journal,Article,2602,15,10.1038/s41467-024-46856-x,Fudan University-Shanghai-China
85188532297,21100431158,,20472382,,Herbivore diversity effects on Arctic tundra ecosystems: a systematic review,Barbero-Palacios L.,Environmental Evidence,2024-12-01,0,Journal,Review,6,13,10.1186/s13750-024-00330-9,Landbúnaðarháskóli Íslands-Borgarnes-Iceland
85188527007,21100200805,,20452322,,Modeling time-varying phytoplankton subsidy reveals at-risk species in a Chilean intertidal ecosystem,Duckwall C.,Scientific Reports,2024-12-01,0,Journal,Article,6995,14,10.1038/s41598-024-57108-9,"University of California, Davis-Davis-United States"
85188520940,19700182758,,20411723,,Fire suppression makes wildfires more severe and accentuates impacts of climate change and fuel accumulation,Kreider M.R.,Nature Communications,2024-12-01,0,Journal,Article,2412,15,10.1038/s41467-024-46702-0,University of Montana-Missoula-United States
85188512597,21100843270,,21974284,,Impact of the Kuroshio large meander on local atmospheric circulation and precipitation in winter,Sasaki Y.N.,Progress in Earth and Planetary Science,2024-12-01,0,Journal,Article,15,11,10.1186/s40645-024-00620-3,Hokkaido University-Sapporo-Japan
85188511301,21101046232,26622289,26622297,,Intraspecific functional traits and stable isotope signatures of ground-dwelling ants across an elevational gradient,He X.,Soil Ecology Letters,2024-12-01,0,Journal,Article,240230,6,10.1007/s42832-024-0230-x,Laboratoire des Sciences du Climat et de l'Environnement-Gif-sur-Yvette-FrancexSouth China Botanical Garden-Guangzhou-ChinaxSun Yat-Sen University-Guangzhou-China
85188505481,21100982468,,23973722,,In-situ observations reveal weak hygroscopicity in the Southern Tibetan Plateau: implications for aerosol activation and indirect effects,Wang Y.,npj Climate and Atmospheric Science,2024-12-01,0,Journal,Article,77,7,10.1038/s41612-024-00629-x,Lanzhou University-Lanzhou-China
85188503317,19700182758,,20411723,,Phosphonate-based iron complex for a cost-effective and long cycling aqueous iron redox flow battery,Nambafu G.S.,Nature Communications,2024-12-01,0,Journal,Article,2566,15,10.1038/s41467-024-45862-3,Pacific Northwest National Laboratory-Richland-United States
85188465927,21100200805,,20452322,,"Assessing the spatial occupation and ecological impact of human activities in Chengguan district, Lhasa city, Tibetan Plateau",Xu L.,Scientific Reports,2024-12-01,0,Journal,Article,6967,14,10.1038/s41598-024-57221-9,"Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences-Beijing-ChinaxUniversity of Chinese Academy of Sciences-Beijing-China"
85188460876,21100200805,,20452322,,Growers’ perceptions and attitudes towards fungicide resistance extension services,Olita T.,Scientific Reports,2024-12-01,0,Journal,Article,6821,14,10.1038/s41598-024-57530-z,Curtin University-Perth-Australia
85188460622,21100924827,,23993642,,Interplay of biotic and abiotic factors shapes tree seedling growth and root-associated microbial communities,Chamard J.,Communications Biology,2024-12-01,0,Journal,Article,360,7,10.1038/s42003-024-06042-7,Université du Québec à Montréal-Montreal-CanadaxUniversité de Sherbrooke-Sherbrooke-Canada
85188456039,21100469613,,20513933,,Synchronous timing of return to breeding sites in a long-distance migratory seabird with ocean-scale variation in migration schedules,van Bemmelen R.S.A.,Movement Ecology,2024-12-01,0,Journal,Article,22,12,10.1186/s40462-024-00459-9,Wageningen University &amp; Research-Wageningen-NetherlandsxWaardenburg Ecology-Culemborg-Netherlands
85188108713,21100200805,,20452322,,Subsurface temperature estimates from a Regional Ocean Modelling System (ROMS) reanalysis provide accurate coral heat stress indices across the Main Hawaiian Islands,Perelman J.N.,Scientific Reports,2024-12-01,0,Journal,Article,6620,14,10.1038/s41598-024-56865-x,NOAA Pacific Islands Fisheries Science Center-Honolulu-United StatesxSchool of Ocean and Earth Science and Technology-Honolulu-United States
85188099139,19700182758,,20411723,,The potential of urban irrigation for counteracting carbon-climate feedback,Li P.,Nature Communications,2024-12-01,0,Journal,Article,2437,15,10.1038/s41467-024-46826-3,Ira A. Fulton Schools of Engineering-Tempe-United StatesxUniversity of Illinois Urbana-Champaign-Urbana-United States
85188098564,21100924827,,23993642,,Accelerated nitrogen cycling on Mediterranean seagrass leaves at volcanic CO<inf>2</inf> vents,Berlinghof J.,Communications Biology,2024-12-01,0,Journal,Article,341,7,10.1038/s42003-024-06011-0,Stazione Zoologica Anton Dohrn-Naples-ItalyxUniversität Bremen-Bremen-Germany
85188093168,21101065239,,26624435,,A unified modelling framework for projecting sectoral greenhouse gas emissions,Vashold L.,Communications Earth and Environment,2024-12-01,0,Journal,Article,139,5,10.1038/s43247-024-01288-9,WU Vienna University of Economics and Business-Vienna-AustriaxWorld Data Lab-Vienna-Austria
85188084789,7000153262,1007662X,19930607,,Long-term thinning decreases the contribution of heterotrophic respiration to soil respiration in subalpine plantations,Chen L.,Journal of Forestry Research,2024-12-01,0,Journal,Article,57,35,10.1007/s11676-024-01710-0,Northwest Institute of Eco-Environment and Resources-Lanzhou-China
85188071105,21100200805,,20452322,,"Effects of different fertilization practices on maize yield, soil nutrients, soil moisture, and water use efficiency in northern China based on a meta-analysis",Jiang M.,Scientific Reports,2024-12-01,0,Journal,Article,6480,14,10.1038/s41598-024-57031-z,Northeast Agricultural University-Harbin-China
85188070853,21100451321,,20524463,,HYADES - A Global Archive of Annual Maxima Daily Precipitation,Vargas Godoy M.R.,Scientific Data,2024-12-01,0,Journal,Data Paper,298,11,10.1038/s41597-024-03109-2,Czech University of Life Sciences Prague-Prague-Czech Republic
85188064402,21101065239,,26624435,,100 years of monitoring in the Swiss National Park reveals overall decreasing rock glacier velocities,Manchado A.M.T.,Communications Earth and Environment,2024-12-01,0,Journal,Article,138,5,10.1038/s43247-024-01302-0,CSIC - Museo Nacional de Ciencias Naturales (MNCN)-Madrid-SpainxUniversité de Genève-Geneva-Switzerland
85188061894,21101138720,,26629984,,"“It should be much faster fashion”— textile industry stakeholders’ perceptions of a just circular transition in Tamil Nadu, India",Härri A.,Discover Sustainability,2024-12-01,0,Journal,Article,39,5,10.1007/s43621-024-00211-8,LUT University-Lappeenranta-Finland
85188060066,19700182758,,20411723,,Pitfalls in diagnosing temperature extremes,Brunner L.,Nature Communications,2024-12-01,0,Journal,Article,2087,15,10.1038/s41467-024-46349-x,Universität Wien-Vienna-Austria
85188051449,21100200805,,20452322,,Identifying American climate change free riders and motivating sustainable behavior,Magistro B.,Scientific Reports,2024-12-01,0,Journal,Article,6575,14,10.1038/s41598-024-57042-w,California Institute of Technology-Pasadena-United States
85188050502,16794,,14712229,,Comparative plastome analysis of the sister genera Ceratocephala and Myosurus (Ranunculaceae) reveals signals of adaptive evolution to arid and aquatic environments,Long J.,BMC Plant Biology,2024-12-01,0,Journal,Article,202,24,10.1186/s12870-024-04891-2,"University of Chinese Academy of Sciences-Beijing-ChinaxInstitute of Botany, Chinese Academy of Sciences-Beijing-ChinaxChina National Botanical Garden-Beijing-China"
85188047635,21100200805,,20452322,,Distribution and protection of Thesium chinense Turcz. under climate and land use change,Zhang B.,Scientific Reports,2024-12-01,0,Journal,Article,6475,14,10.1038/s41598-024-57125-8,Harbin Normal University-Harbin-China
85188047416,21101065239,,26624435,,"Rainfall variability increased with warming in northern Queensland, Australia, over the past 280 years",Dyez K.A.,Communications Earth and Environment,2024-12-01,0,Journal,Article,117,5,10.1038/s43247-024-01262-5,"University of Michigan, Ann Arbor-Ann Arbor-United States"
85187964032,21100394090,20955162,20499957,,Climate-influenced vector-borne diseases in Africa: a call to empower the next generation of African researchers for sustainable solutions,Obame-Nkoghe J.,Infectious Diseases of Poverty,2024-12-01,0,Journal,Article,26,13,10.1186/s40249-024-01193-5,University of the Free State-Bloemfontein-South AfricaxUniversity of Science and Technology of Masuku-Franceville-GabonxInterdisciplinary Center for Medical Research of Franceville-Franceville-Gabon
85187952079,21100401152,,20492618,,Global prevalence of organohalide-respiring bacteria dechlorinating polychlorinated biphenyls in sewage sludge,Xu G.,Microbiome,2024-12-01,0,Journal,Article,54,12,10.1186/s40168-024-01754-8,National University of Singapore-Singapore City-Singapore
85187946790,21100200805,,20452322,,The impact of rainfall on the sea surface salinity: a mesocosm study,Gassen L.,Scientific Reports,2024-12-01,0,Journal,Article,6353,14,10.1038/s41598-024-56915-4,Universität Oldenburg-Oldenburg-Germany
85187943159,21100200805,,20452322,,"Exploring urban land surface temperature using spatial modelling techniques: a case study of Addis Ababa city, Ethiopia",Eshetie S.M.,Scientific Reports,2024-12-01,0,Journal,Article,6323,14,10.1038/s41598-024-55121-6,Space Science and Geospatial Institute-Addis Ababa-Ethiopia
85187937146,21101065239,,26624435,,Unraveling weak and short South Asian wet season in the Early Eocene warmth,Abhik S.,Communications Earth and Environment,2024-12-01,0,Journal,Article,133,5,10.1038/s43247-024-01289-8,Monash University-Clayton-Australia
85187932875,21100200805,,20452322,,Decadal demographic shifts and size-dependent disturbance responses of corals in a subtropical warming hotspot,Sommer B.,Scientific Reports,2024-12-01,0,Journal,Article,6327,14,10.1038/s41598-024-56890-w,The University of Sydney-Sydney-Australia
85187924988,21101065239,,26624435,,The impacts of decarbonization pathways on Sustainable Development Goals in the European Union,Moreno J.,Communications Earth and Environment,2024-12-01,0,Journal,Article,136,5,10.1038/s43247-024-01309-7,BC3 Basque Centre for Climate Change-Leioa-SpainxImperial College London-London-United Kingdom
85187922192,21101065239,,26624435,,The effect of climate change on sources of radionuclides to the marine environment,Gwynn J.P.,Communications Earth and Environment,2024-12-01,0,Journal,Review,135,5,10.1038/s43247-024-01241-w,Norwegian Radiation and Nuclear Safety Authority (DSA)-Oesteraas-Norway
85187909103,21100401152,,20492618,,A first characterization of the microbiota-resilience link in swine,Mancin E.,Microbiome,2024-12-01,0,Journal,Article,53,12,10.1186/s40168-024-01771-7,Università degli Studi di Padova-Padua-Italy
85187902418,19700182758,,20411723,,The atlas of unburnable oil for supply-side climate policies,Pellegrini L.,Nature Communications,2024-12-01,0,Journal,Article,2318,15,10.1038/s41467-024-46340-6,International Institute of Social Studies-The Hague-Netherlands
85187901696,21101192674,,26618001,,Diversified evolutionary patterns of surface urban heat island in new expansion areas of 31 Chinese cities,Peng J.,npj Urban Sustainability,2024-12-01,0,Journal,Article,14,4,10.1038/s42949-024-00152-1,Peking University-Beijing-China
85187511458,19700182758,,20411723,,Systematic review of the uncertainty of coral reef futures under climate change,Klein S.G.,Nature Communications,2024-12-01,0,Journal,Article,2224,15,10.1038/s41467-024-46255-2,King Abdullah University of Science and Technology-Thuwal-Saudi Arabia
85187503208,21100982468,,23973722,,Strengthened impact of boreal winter North Pacific Oscillation on ENSO development in warming climate,Chen S.,npj Climate and Atmospheric Science,2024-12-01,0,Journal,Article,69,7,10.1038/s41612-024-00615-3,Institute of Atmospheric Physics Chinese Academy of Sciences-Beijing-China
85187500009,19700182758,,20411723,,Aerosol forcing regulating recent decadal change of summer water vapor budget over the Tibetan Plateau,Wang Z.,Nature Communications,2024-12-01,0,Journal,Article,2233,15,10.1038/s41467-024-46635-8,Chinese Academy of Meteorological Sciences-Beijing-China
85187473405,21101065239,,26624435,,Earlier spring greening in Northern Hemisphere terrestrial biomes enhanced net ecosystem productivity in summer,Ren Y.,Communications Earth and Environment,2024-12-01,0,Journal,Article,122,5,10.1038/s43247-024-01270-5,"Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences-Beijing-ChinaxUniversity of Chinese Academy of Sciences-Beijing-ChinaxSun Yat-Sen University-Guangzhou-China"
85187468832,21100982468,,23973722,,From peak to plummet: impending decline of the warm Arctic-cold continents phenomenon,Hong Y.,npj Climate and Atmospheric Science,2024-12-01,0,Journal,Article,66,7,10.1038/s41612-024-00611-7,Gwangju Institute of Science and Technology-Gwangju-South Korea
85187466997,21100838559,,21980802,,Cooling performance measurements of different types of cooling vests using thermal manikin,Kim S.,Fashion and Textiles,2024-12-01,0,Journal,Article,15,11,10.1186/s40691-024-00381-z,FITI Testing and Research Institute-Seoul-South Korea
85187459844,21101138720,,26629984,,"Measuring eco-emotions: a German version of questionnaires on eco-guilt, ecological grief, and eco-anxiety",Zeier P.,Discover Sustainability,2024-12-01,0,Journal,Article,29,5,10.1007/s43621-024-00209-2,Johannes Gutenberg-Universität Mainz-Mainz-Germany
85187455545,21101038704,27306844,,,Gene expression of Pocillopora damicornis coral larvae in response to acidification and ocean warming,Sun Y.,BMC Genomic Data,2024-12-01,0,Journal,Note,28,25,10.1186/s12863-024-01211-3,South China Sea Institute of Oceanology-Guangzhou-ChinaxChinese Academy of Sciences-Beijing-ChinaxHong Kong University of Science and Technology-Hong Kong-Hong Kong
85187454484,19700182758,,20411723,,Dansgaard-Oeschger cycles of the penultimate and last glacial period recorded in stalagmites from Türkiye,Held F.,Nature Communications,2024-12-01,0,Journal,Article,1183,15,10.1038/s41467-024-45507-5,Universitat Basel-Basel-Switzerland
85187438841,21100843270,,21974284,,Influence of snowmelt on increasing Arctic river discharge: numerical evaluation,Park H.,Progress in Earth and Planetary Science,2024-12-01,0,Journal,Article,13,11,10.1186/s40645-024-00617-y,Japan Agency for Marine-Earth Science and Technology-Yokosuka-JapanxNagoya University-Nagoya-Japan
85187438805,21101065239,,26624435,,A framework for estimating the anthropogenic part of Antarctica’s sea level contribution in a synthetic setting,Bradley A.T.,Communications Earth and Environment,2024-12-01,0,Journal,Article,121,5,10.1038/s43247-024-01287-w,British Antarctic Survey-Cambridge-United Kingdom
85187438056,21101018925,,26629992,,How aging impacts environmental sustainability—insights from the effects of social consumption and labor supply,Li S.,Humanities and Social Sciences Communications,2024-12-01,0,Journal,Article,387,11,10.1057/s41599-024-02914-9,Shandong University of Science and Technology-Qingdao-China
85187431325,21100982468,,23973722,,Unveiling the dynamics of sequential extreme precipitation-heatwave compounds in China,Miao L.,npj Climate and Atmospheric Science,2024-12-01,0,Journal,Article,67,7,10.1038/s41612-024-00613-5,Nanjing University of Information Science &amp; Technology-Nanjing-China
85187427041,21100200805,,20452322,,Global multi-hazard risk assessment in a changing climate,Stalhandske Z.,Scientific Reports,2024-12-01,0,Journal,Article,5875,14,10.1038/s41598-024-55775-2,Federal Office of Meteorology and Climatology MeteoSwiss-Zurich-SwitzerlandxETH Zürich-Zurich-Switzerland
